"Date","Price","Open","High","Low","Vol.","Change %"
"19-03-2025","38.530","38.600","39.060","38.360","385.31K","-1.78%"
"18-03-2025","39.230","38.500","39.330","38.480","735.61K","2.62%"
"17-03-2025","38.230","38.230","39.060","38.060","784.80K","0.55%"
"14-03-2025","38.020","37.960","38.730","37.580","925.59K","-0.26%"
"13-03-2025","38.120","38.210","38.710","37.700","718.41K","-1.42%"
"12-03-2025","38.670","39.120","39.250","37.950","772.49K","-0.82%"
"11-03-2025","38.990","39.660","40.370","38.300","1.13M","-1.52%"
"10-03-2025","39.590","39.440","40.020","38.590","1.12M","1.67%"
"07-03-2025","38.940","38.800","39.090","38.310","729.59K","-0.56%"
"06-03-2025","39.160","38.370","39.230","38.340","835.60K","3.49%"
"05-03-2025","37.840","38.280","38.890","37.840","946.65K","0.85%"
"04-03-2025","37.520","38.220","38.420","37.010","1.07M","-3.60%"
"03-03-2025","38.920","37.380","39.860","37.350","1.31M","3.59%"
"28-02-2025","37.570","37.400","37.800","37.270","826.17K","-0.58%"
"27-02-2025","37.790","38.300","38.450","37.400","800.24K","-3.33%"
"26-02-2025","39.090","38.700","39.330","38.500","698.75K","1.24%"
"25-02-2025","38.610","37.500","38.780","37.390","980.57K","2.47%"
"24-02-2025","37.680","37.550","37.860","36.750","543.40K","1.87%"
"21-02-2025","36.990","36.630","36.990","36.490","449.73K","1.26%"
"20-02-2025","36.530","36.660","37.200","36.500","508.18K","-1.08%"
"19-02-2025","36.930","37.910","37.950","36.760","751.17K","-2.76%"
"18-02-2025","37.980","38.220","38.300","37.870","314.55K","-0.21%"
"17-02-2025","38.060","38.180","38.360","37.940","424.18K","-0.08%"
"14-02-2025","38.090","37.640","38.470","37.540","594.22K","0.58%"
"13-02-2025","37.870","36.700","38.160","36.690","1.54M","4.33%"
"12-02-2025","36.300","36.390","36.650","36.150","452.27K","0.11%"
"11-02-2025","36.260","36.700","36.790","36.060","615.95K","-1.65%"
"10-02-2025","36.870","36.500","37.050","36.490","527.31K","0.57%"
"07-02-2025","36.660","37.340","37.570","36.450","861.35K","-2.00%"
"06-02-2025","37.410","36.780","37.630","36.650","513.43K","1.30%"
"05-02-2025","36.930","37.320","37.580","36.450","551.46K","-1.36%"
"04-02-2025","37.440","37.420","37.640","37.000","397.96K","-0.32%"
"03-02-2025","37.560","36.600","37.560","36.250","893.53K","-1.68%"
"31-01-2025","38.200","37.960","38.200","37.820","451.89K","0.79%"
"30-01-2025","37.900","37.680","38.080","37.550","480.00K","1.01%"
"29-01-2025","37.520","37.800","37.870","37.500","414.60K","-0.42%"
"28-01-2025","37.680","37.800","38.150","37.620","638.61K","0.16%"
"27-01-2025","37.620","37.390","37.950","37.230","676.80K","0.83%"
"24-01-2025","37.310","37.240","37.980","37.150","827.93K","0.84%"
"23-01-2025","37.000","37.130","37.310","36.730","525.05K","0.24%"
"22-01-2025","36.910","36.570","36.990","36.550","415.79K","-0.54%"
"21-01-2025","37.110","36.760","37.160","36.520","424.39K","0.27%"
"20-01-2025","37.010","36.550","37.500","36.250","832.04K","1.34%"
"17-01-2025","36.520","36.560","36.830","36.390","515.00K","0.11%"
"16-01-2025","36.480","36.830","36.960","36.480","563.13K","-0.22%"
"15-01-2025","36.560","36.010","36.600","35.700","600.58K","1.90%"
"14-01-2025","35.880","35.450","36.340","35.270","628.70K","0.00%"
"13-01-2025","35.880","35.780","36.420","35.750","501.71K","0.45%"
"10-01-2025","35.720","35.480","36.350","35.170","585.59K","0.34%"
"09-01-2025","35.600","35.660","35.850","35.300","819.60K","-1.98%"
"08-01-2025","36.320","36.450","36.660","35.970","659.52K","-0.57%"
