Date,Close,Open,High,Low,Volume,Change,7_Day_MA,14_Day_MA
2015-03-19,88.61,87.39,88.87,87.0,382040.0,0.0101,0.0,0.0
2015-03-20,89.37,88.9,89.87,88.11,415990.0,0.0086,0.0,0.0
2015-03-23,86.98,89.85,89.85,86.7,398800.0,-0.026699999999999998,0.0,0.0
2015-03-24,87.87,86.79,88.46,85.65,481130.0,0.0102,0.0,0.0
2015-03-25,88.28,88.36,89.3,87.64,345280.0,0.004699999999999999,0.0,0.0
2015-03-26,89.0,87.5,89.01,84.73,965630.0,0.008199999999999999,0.0,0.0
2015-03-27,90.1,90.0,91.25,88.46,717880.0,0.0124,88.60142857142857,0.0
2015-03-30,92.36,90.45,92.36,90.39,403810.0,0.025099999999999997,89.13714285714286,0.0
2015-03-31,91.47,92.62,93.17,90.57,354570.0,-0.0096,89.43714285714285,0.0
2015-04-01,90.69,91.45,92.25,90.26,478900.0,-0.0085,89.96714285714286,0.0
2015-04-02,90.48,90.27,90.62,89.87,271140.0,-0.0023,90.34,0.0
2015-04-07,91.35,91.2,91.77,90.32,268910.0,0.0096,90.77857142857144,0.0
2015-04-08,91.44,91.48,91.88,89.64,309580.0,0.001,91.12714285714286,0.0
2015-04-09,92.86,92.25,93.03,91.94,279240.0,0.0155,91.52142857142857,90.06142857142856
2015-04-10,94.0,93.15,94.56,92.82,479550.0,0.0123,91.75571428571428,90.44642857142857
2015-04-13,92.44,93.01,93.38,92.37,401220.0,-0.0166,91.89428571428572,90.66571428571429
2015-04-14,91.66,92.5,93.23,91.06,279380.0,-0.0084,92.03285714285714,91.0
2015-04-15,91.36,91.9,92.69,91.19,256040.00000000003,-0.0033,92.15857142857142,91.24928571428572
2015-04-16,89.66,91.52,92.1,89.53,457080.0,-0.018600000000000002,91.91714285714286,91.34785714285715
2015-04-17,88.72,89.43,91.95,88.38,583620.0,-0.0105,91.52857142857144,91.32785714285714
2015-04-20,87.75,89.0,89.34,87.52,440960.0,-0.0109,90.79857142857142,91.16
2015-04-21,86.59,88.14,88.79,86.23,517909.99999999994,-0.0132,89.74,90.74785714285714
2015-04-22,85.79,86.03,87.31,84.68,548130.0,-0.0092,88.79,90.34214285714286
2015-04-23,85.21,85.86,86.65,84.47,423460.0,-0.0068000000000000005,87.86857142857141,89.95071428571428
2015-04-24,85.69,85.93,86.65,84.81,429320.0,0.005600000000000001,87.05857142857144,89.60857142857142
2015-04-27,89.61,87.82,89.61,87.27,727550.0,0.045700000000000005,87.05142857142857,89.48428571428572
2015-04-28,87.86,89.6,89.9,86.79,422530.0,-0.0195,86.92857142857143,89.22857142857143
2015-04-29,84.81,89.0,89.0,84.19,453710.0,-0.0347,86.50857142857144,88.65357142857144
2015-04-30,85.3,86.07,86.07,83.95,477540.0,0.0058,86.32428571428571,88.03214285714286
2015-05-04,84.63,85.4,85.41,83.83,326150.0,-0.0079,86.15857142857142,87.47428571428573
2015-05-05,82.87,85.4,85.6,82.54,530550.0,-0.0208,85.82428571428571,86.84642857142856
2015-05-06,81.7,82.52,84.2,80.78,715310.0,-0.0141,85.25428571428571,86.15642857142858
2015-05-07,83.23,81.5,84.18,80.73,565230.0,0.0187,84.34285714285714,85.69714285714285
2015-05-08,84.74,84.06,85.24,83.15,330100.0,0.0181,83.89714285714285,85.41285714285713
2015-05-11,85.11,85.17,85.27,84.15,256029.99999999997,0.0044,83.94000000000001,85.2242857142857
2015-05-12,81.97,84.66,84.89,81.8,387150.0,-0.0369,83.46428571428571,84.89428571428572
2015-05-13,81.7,82.49,83.21,81.15,272510.0,-0.0033,83.04571428571428,84.60214285714287
2015-05-14,81.28,78.1,81.48,78.08,349970.0,-0.0051,82.81857142857143,84.32142857142857
2015-05-15,79.59,81.39,81.71,79.34,329800.0,-0.0208,82.51714285714286,83.88571428571429
2015-05-18,82.0,80.16,82.29,79.85,476550.0,0.030299999999999997,82.34142857142857,83.34214285714286
2015-05-19,85.63,82.81,85.91,82.7,569330.0,0.0443,82.46857142857142,83.18285714285715
2015-05-20,85.27,85.62,85.99,84.71,261170.00000000003,-0.0042,82.49142857142859,83.21571428571428
2015-05-21,85.19,85.13,85.64,84.41,254680.0,-0.0009,82.95142857142856,83.20785714285715
2015-05-22,84.67,85.57,85.74,84.29,304890.0,-0.0060999999999999995,83.37571428571428,83.21071428571427
2015-05-26,82.94,84.5,85.35,82.48,338810.0,-0.0204,83.61285714285714,83.21571428571428
2015-05-27,83.88,82.93,84.15,82.18,358280.0,0.0113,84.22571428571428,83.37142857142858
2015-05-28,82.18,83.69,83.97,81.53,289390.0,-0.0203,84.25142857142858,83.29642857142858
2015-05-29,80.42,82.5,82.5,80.19,479630.0,-0.021400000000000002,83.50714285714285,82.98785714285714
2015-06-01,80.44,81.3,81.5,79.98,377900.0,0.0002,82.81714285714285,82.65428571428572
2015-06-02,79.2,80.91,80.91,78.75,281540.0,-0.0154,81.96142857142857,82.45642857142857
2015-06-03,79.61,79.51,80.96,78.95,369910.0,0.0052,81.23857142857142,82.30714285714285
2015-06-04,78.99,79.5,79.61,78.01,329110.0,-0.0078000000000000005,80.67428571428572,82.14357142857143
2015-06-05,78.09,78.05,78.82,77.5,298860.0,-0.011399999999999999,79.84714285714287,82.03642857142859
2015-06-08,76.76,78.0,78.29,76.39,369970.0,-0.017,79.07285714285715,81.66214285714287
2015-06-09,76.5,76.5,76.89,74.69,439380.0,-0.0034000000000000002,78.51285714285714,81.01
2015-06-10,78.98,76.68,79.14,76.45,508090.0,0.032400000000000005,78.30428571428571,80.56071428571428
2015-06-11,79.54,79.09,80.29,78.94,472780.0,0.0070999999999999995,78.35285714285715,80.15714285714286
2015-06-12,77.63,78.9,79.16,76.95,400510.0,-0.024,78.07000000000001,79.65428571428572
2015-06-15,76.12,76.5,76.71,75.6,294410.0,-0.0195,77.66,79.16714285714286
2015-06-16,76.81,75.41,77.2,74.94,335750.0,0.0091,77.47714285714287,78.66214285714285
2015-06-17,75.76,77.23,77.28,75.53,311340.0,-0.0137,77.33428571428571,78.20357142857142
2015-06-18,76.32,75.13,76.36,74.2,427630.0,0.0074,77.30857142857144,77.91071428571429
2015-06-19,77.48,76.5,78.04,76.5,597790.0,0.0152,77.0942857142857,77.69928571428571
2015-06-22,79.76,79.12,80.2,78.55,346820.0,0.0294,77.12571428571428,77.73928571428571
2015-06-23,80.47,80.58,81.25,80.01,331680.0,0.0089,77.53142857142858,77.80071428571429
2015-06-24,79.79,80.4,80.4,78.53,292580.0,-0.0085,78.05571428571429,77.85785714285714
2015-06-25,79.78,78.86,80.66,78.85,205130.0,-0.0001,78.48,77.97857142857143
2015-06-26,79.98,79.39,80.36,79.06,335160.0,0.0025,79.08285714285715,78.20857142857143
2015-06-29,77.29,76.0,78.65,75.55,425150.0,-0.0336,79.22142857142858,78.265
2015-06-30,75.57,77.0,77.67,75.57,342620.0,-0.0223,78.94857142857143,78.02142857142857
2015-07-01,77.89,76.5,78.6,76.06,369730.0,0.030699999999999998,78.68142857142857,77.90357142857144
2015-07-02,77.49,78.16,78.75,77.3,237220.0,-0.0051,78.25571428571428,77.89357142857143
2015-07-03,76.51,77.5,77.5,76.3,249810.0,-0.0126,77.78714285714285,77.92142857142858
2015-07-06,75.52,74.74,76.35,74.65,267110.0,-0.0129,77.17857142857143,77.8292857142857
2015-07-07,74.45,75.55,75.9,74.02,463230.0,-0.014199999999999999,76.38857142857144,77.73571428571428
2015-07-08,72.3,74.4,74.4,71.96,677600.0,-0.028900000000000002,75.67571428571429,77.44857142857143
2015-07-09,74.12,72.84,75.12,72.84,390130.0,0.0252,75.46857142857142,77.20857142857143
2015-07-10,75.2,76.06,76.06,74.09,356510.0,0.0146,75.08428571428571,76.88285714285715
2015-07-13,75.77,75.96,76.88,74.66,405950.0,0.0076,74.83857142857143,76.54714285714286
2015-07-14,74.44,75.93,75.93,73.2,355620.0,-0.0176,74.54285714285716,76.16499999999999
2015-07-15,73.75,74.28,74.29,73.44,325630.0,-0.009300000000000001,74.28999999999999,75.73428571428572
2015-07-16,75.49,74.74,76.37,74.18,477540.0,0.0236,74.43857142857142,75.41357142857143
2015-07-17,75.41,76.18,76.3,75.04,214250.0,-0.0011,74.88285714285713,75.27928571428572
2015-07-20,74.75,75.28,75.34,74.08,345690.0,-0.0088,74.97285714285714,75.22071428571428
2015-07-21,74.09,74.8,75.26,73.75,403270.0,-0.0088,74.81428571428572,74.94928571428571
2015-07-22,73.0,73.3,73.65,72.51,369390.0,-0.0147,74.41857142857144,74.62857142857142
2015-07-23,73.04,73.69,73.86,72.43,202080.0,0.0005,74.21857142857142,74.38071428571428
2015-07-24,71.3,72.75,73.04,70.95,343910.0,-0.023799999999999998,73.86857142857143,74.0792857142857
2015-07-27,69.38,70.95,70.95,68.86,525550.0,-0.0269,72.99571428571429,73.71714285714286
2015-07-28,70.47,69.85,70.84,69.47,390250.0,0.015700000000000002,72.29,73.58642857142857
2015-07-29,69.12,70.79,70.96,68.44,466300.0,-0.0192,71.48571428571428,73.22928571428572
2015-07-30,68.7,69.79,69.79,68.2,336630.0,-0.0060999999999999995,70.71571428571428,72.765
2015-07-31,68.49,69.0,69.19,68.19,377250.0,-0.0031,70.07142857142857,72.24499999999999
2015-08-03,68.49,69.4,69.4,67.56,393090.0,0.0,69.42142857142856,71.82000000000001
2015-08-04,69.41,68.55,69.45,68.08,402050.0,0.0134,69.15142857142857,71.51
2015-08-05,71.4,69.95,72.34,69.95,571770.0,0.0287,69.44,71.21785714285714
2015-08-06,70.93,71.57,72.13,70.69,250930.0,-0.0066,69.50571428571429,70.89785714285715
2015-08-07,70.57,70.09,70.9,69.53,305610.0,-0.0051,69.71285714285715,70.59928571428571
2015-08-10,71.16,71.1,71.34,70.29,244650.0,0.0084,70.06428571428572,70.39
2015-08-11,68.42,70.72,70.72,67.94,558280.0,-0.0385,70.05428571428571,70.06285714285714
2015-08-12,66.05,67.7,67.7,65.85,727290.0,-0.0346,69.70571428571428,69.56357142857142
2015-08-13,66.37,67.53,67.74,66.27,276660.0,0.0048,69.27142857142857,69.21142857142857
2015-08-14,67.79,67.1,68.12,66.48,481310.0,0.021400000000000002,68.75571428571428,69.09785714285714
2015-08-17,67.58,68.65,69.06,66.89,359410.0,-0.0031,68.27714285714286,68.89142857142858
2015-08-18,66.71,67.2,67.73,66.43,287660.0,-0.0129,67.72571428571429,68.7192857142857
2015-08-19,65.36,66.25,66.61,65.22,367350.0,-0.0202,66.89714285714287,68.48071428571428
2015-08-20,63.8,64.75,65.09,63.37,485540.0,-0.0239,66.23714285714286,68.14571428571428
2015-08-21,62.67,62.34,63.92,62.0,559090.0,-0.0177,65.75428571428571,67.73
2015-08-24,59.62,60.6,61.7,57.55,1020000.0,-0.0487,64.78999999999999,67.0307142857143
2015-08-25,62.59,60.41,63.45,59.86,1040000.0,0.049800000000000004,64.04714285714286,66.40142857142857
2015-08-26,61.74,61.91,62.73,60.43,565640.0,-0.013600000000000001,63.212857142857146,65.74499999999999
2015-08-27,63.18,63.9,64.3,62.71,451950.0,0.0233,62.708571428571425,65.21714285714286
2015-08-28,62.9,63.29,63.29,61.85,396300.0,-0.0044,62.357142857142854,64.62714285714286
2015-08-31,62.11,62.5,62.88,61.56,348440.0,-0.0126,62.1157142857143,64.17642857142857
2015-09-01,60.36,61.3,61.55,59.75,363860.0,-0.0282,61.785714285714285,63.77
2015-09-02,59.85,60.56,60.98,59.76,311480.0,-0.0084,61.81857142857143,63.30428571428571
2015-09-03,61.66,60.58,62.19,60.23,441810.0,0.0302,61.685714285714276,62.86642857142857
2015-09-04,60.3,61.07,61.16,59.34,455460.0,-0.022099999999999998,61.48,62.346428571428575
2015-09-07,60.51,60.86,61.04,60.33,190050.0,0.0034999999999999996,61.098571428571425,61.903571428571425
2015-09-08,61.69,61.35,62.47,61.35,429020.0,0.0195,60.92571428571428,61.64142857142857
2015-09-09,62.42,63.05,63.6,62.14,375010.0,0.0118,60.970000000000006,61.542857142857144
2015-09-10,61.86,61.9,62.8,61.47,262930.0,-0.009000000000000001,61.184285714285714,61.485
2015-09-11,61.5,61.9,61.92,61.0,250660.0,-0.0058,61.42,61.61928571428571
2015-09-14,61.3,61.26,62.16,60.79,210910.0,-0.0033,61.368571428571435,61.527142857142856
2015-09-15,62.02,61.4,62.38,61.05,260880.0,0.011699999999999999,61.614285714285714,61.54714285714285
2015-09-16,63.2,62.9,63.35,62.56,393980.0,0.019,61.99857142857143,61.54857142857143
2015-09-17,62.59,63.26,63.5,62.53,310260.0,-0.0097,62.127142857142864,61.526428571428575
2015-09-18,60.64,62.2,62.2,59.74,553640.0,-0.031200000000000002,61.87285714285714,61.42142857142857
2015-09-21,50.2,53.8,54.01,46.285,4360000.0,-0.1722,60.207142857142856,60.69571428571429
2015-09-22,41.555,50.51,50.55,40.11,4680000.0,-0.1722,57.35785714285714,59.38892857142857
2015-09-23,42.33,41.4,44.385,38.565,3680000.0,0.0187,54.64785714285715,58.00821428571429
2015-09-24,42.075,44.2,45.49,41.655,2550000.0,-0.006,51.798571428571435,56.70642857142857
2015-09-25,40.745,43.6,43.6,40.3,2000000.0,-0.0316,48.590714285714284,55.294642857142854
2015-09-28,37.92,40.57,40.57,37.25,1900000.0,-0.0693,45.06642857142857,53.596785714285716
2015-09-29,37.54,37.1,38.92,36.37,1470000.0,-0.01,41.76642857142857,51.81964285714286
2015-09-30,38.095,39.36,39.48,37.85,1460000.0,0.0148,40.037142857142854,50.12214285714286
2015-10-01,37.53,38.67,39.685,37.225,900550.0,-0.0148,39.46214285714286,48.410000000000004
2015-10-02,35.865,37.675,37.94,35.53,1110000.0,-0.0444,38.53857142857144,46.59321428571429
2015-10-05,37.17,35.8,37.51,34.03,1510000.0,0.0364,37.837857142857146,44.81821428571429
2015-10-06,38.395,37.465,38.795,36.015,1360000.0,0.033,37.50214285714286,43.04642857142857
2015-10-07,40.45,39.25,41.41,39.2,2009999.9999999998,0.0535,37.86357142857143,41.464999999999996
2015-10-08,41.31,41.335,42.12,40.69,1710000.0,0.0213,38.402142857142856,40.08428571428572
2015-10-09,42.22,41.95,42.85,41.45,1800000.0,0.022000000000000002,38.99142857142858,39.51428571428572
2015-10-12,42.255,42.5,43.17,41.9,1050000.0,0.0008,39.666428571428575,39.56428571428571
2015-10-13,41.225,42.465,42.48,40.2,834030.0,-0.024399999999999998,40.432142857142864,39.48535714285715
2015-10-14,40.21,40.75,42.0,40.18,897880.0,-0.0246,40.86642857142857,39.35214285714285
2015-10-15,39.89,40.5,41.0,39.575,1050000.0,-0.008,41.08,39.291071428571435
2015-10-16,38.78,40.3,40.49,38.59,856240.0,-0.0278,40.84142857142857,39.3525
2015-10-19,38.815,38.8,39.3,38.09,565790.0,0.0009,40.485,39.44357142857143
2015-10-20,38.41,38.92,39.085,37.605,567980.0,-0.0104,39.940714285714286,39.466071428571425
2015-10-21,39.235,38.495,39.42,37.93,592740.0,0.0215,39.50928571428572,39.587857142857146
2015-10-22,40.87,39.525,41.0,39.01,712910.0,0.0417,39.458571428571425,39.94535714285714
